# time (s), x coordinate (m), y coordinate (m)
0.000000000000000000e+00,1.102145480287895829e+01,0.000000000000000000e+00
3.600000000000000089e+00,1.097375022583730342e+01,6.902003539787174291e-02
7.200000000000000178e+00,1.092365398618664685e+01,1.374153403642698890e-01
1.080000000000000071e+01,1.087114864673809578e+01,2.051457915313413261e-01
1.440000000000000036e+01,1.081621865892928191e+01,2.721707611516689940e-01
1.800000000000000000e+01,1.075885071748823840e+01,3.384491770503149644e-01
2.160000000000000142e+01,1.069903412032668300e+01,4.039395960063547619e-01
2.519999999999999929e+01,1.063676113139540291e+01,4.686002907425527719e-01
2.880000000000000071e+01,1.057202734418426537e+01,5.323893505953251060e-01
3.239999999999999858e+01,1.050483204351182032e+01,5.952647958284751351e-01
3.600000000000000000e+01,1.043517856322495341e+01,6.571847054440523861e-01
3.960000000000000142e+01,1.036307463741740342e+01,7.181073582327681670e-01
4.320000000000000284e+01,1.028853274277766872e+01,7.779913866954047963e-01
4.680000000000000426e+01,1.021157042969196205e+01,8.367959433563013638e-01
5.039999999999999858e+01,1.013221063975597680e+01,8.944808788809781586e-01
5.400000000000000000e+01,1.005048200739101460e+01,9.510069313030058424e-01
5.760000000000000142e+01,9.966419143314393381e+00,1.006335925561006484e+00
6.120000000000000284e+01,9.880062897681725076e+00,1.060430982445905057e+00
6.479999999999999716e+01,9.791460600798647107e+00,1.113256735961894339e+00
6.840000000000000568e+01,9.700666279391962021e+00,1.164779558012678518e+00
7.200000000000000000e+01,9.607740846534277068e+00,1.214967789238087015e+00
7.560000000000000853e+01,9.512752263431746513e+00,1.263791974745639424e+00
7.920000000000000284e+01,9.415775671410887782e+00,1.311225103407749781e+00
8.279999999999999716e+01,9.316893492576967972e+00,1.357242849328458956e+00
8.640000000000000568e+01,9.216195497762591060e+00,1.401823814024405923e+00
9.000000000000000000e+01,9.113778840540156523e+00,1.444949767813658692e+00
9.360000000000000853e+01,9.009748056234894165e+00,1.486605888863434588e+00
9.720000000000000284e+01,8.904215025045655096e+00,1.526780998314013482e+00
1.007999999999999972e+02,8.797298898557512459e+00,1.565467789871634929e+00
1.044000000000000057e+02,8.689125989112737258e+00,1.602663052248120668e+00
1.080000000000000000e+02,8.579829621693876973e+00,1.638367882819618426e+00
